Nr;Text_vorher;UNG;Text_danach;Textstelle;Sprachraum;Jahr;Textsorte;Textstelle5;Erstglied;Lemma;NOM_V;FVG;Fremdwortbasis;Praefix;Numerus;Simplexbasis;Konstruktion;als_praep_Kompl;Prep_Det_Nom;Adj;Genitiv;Det;Prep;Anmerkungen
1314;oder hernachmals gemacht  werden. frid. recht. jr ;handthabung;/ vnd den wider stand obgemellt belangend/ jrs jnn;OOBD-1500-ST-001.txt;OOBD;1500;ST;001.txt;NA;Handhabung;NA;NA;NEIN;NA;SG;NEIN;GEN_NOM;NEIN;NA;NA;prenom;s;NA;NA
1311;/ des reychs/ vnnd was an dem friden rechten jrer ;hanndthabung;/ vnnd auch dem widerstanndt  obgemellt hannget. o;OOBD-1500-ST-001.txt;OOBD;1500;ST;001.txt;NA;Handhabung;NA;NA;NEIN;NA;SG;NEIN;GEN_NOM;NEIN;NA;NA;prenom;s;NA;NA
1325;n Exempt oder nit/ in betrachtung. wz jnen an der ;handthabung; obgemelt gelegen sey von alle_ jren. einko_men. r;OOBD-1500-ST-001.txt;OOBD;1500;ST;001.txt;NA;Handhabung;NA;NA;NEIN;NA;SG;NEIN;PREP_DET_NOM;NEIN;NA;NA;NA;b;an;NA
1322;at zuogeben vnd annemen/  nachuolgender hilff vnd ;handthabu_g;/ verainet vertragen  vnd beschlossen/ vnd thuon d;OOBD-1500-ST-001.txt;OOBD;1500;ST;001.txt;NA;Handhabung;NA;NA;NEIN;NA;SG;NEIN;ADJ_NOM;NEIN;NA;nachfolgend;NA;KEIN;NA;NA
574;r gezwungen der Natur mehr nacharte und derselben ;Handleitung; leichter  folge/ als die aufgeblasne/ hochtrabend;NOBD-1650-ST-099.txt;NOBD;1650;ST;099.txt;NA;Handleitung;NA;NA;NEIN;NA;SG;NEIN;DET_NOM;NEIN;NA;NA;NA;s;NA;NA
2808; zuosamen kommen/ machen sie seltzam vnd verkerte ;handlung;  in den gesetzen der Religion/ vnd werden vil new;WOBD-1560-ST-neu2.txt;WOBD;1560;ST;neu2.txt;NA;Handlung;machen;NA;NEIN;NA;SG;JA;V_NOM;NEIN;NA;NA;NA;KEIN;NA;NA
1741;befinden/ sollen die Obrigkeiten  mit denenselben ;Handlung; pflegen/ dass sie einen Priester jhres Ordens/  hi;OOBD-1650-ST-094.txt;OOBD;1650;ST;094.txt;NA;Handlung;pflegen;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
808;ds die Schlesier bey der erflogten Ossnabruegischen ;Friedens Handlung;/  nebst ihren andern ReligionsAngelegenheiten  au;NOBD-1710-ST-135.txt;NOBD;1710;ST;135.txt;Friedens;Handlung;NA;NA;NEIN;NA;SG;JA;PREP_DET_ADJ_NOM;NEIN;JA;Osnabrueckisch;NA;b;bei;NA
812;en  zwar ihre hohen *Oficia* bey dieser  ;Friedens=Handlung;/ sowol fuer das gantze  Hertzogthum Schlesien und ;NOBD-1710-ST-135.txt;NOBD;1710;ST;135.txt;Friedens;Handlung;NA;NA;NEIN;NA;SG;JA;PREP_DET_NOM;NEIN;NA;NA;NA;DEM;bei;NA
3105;schreibt: *(a)* Es ist uns unbekandt/ wer die;Mess=Handlung; erstlich geordnet habe:dass sie oeffters seye verme;WOBD-1680-KT-113.txt;WOBD;1680;KT;113.txt;Mess;Handlung;NA;NA;NEIN;NA;SG;JA;DET_NOM;NEIN;NA;NA;NA;b;NA;NA
